PassengerId,Survived
892,0.0
893,1.0
894,1.0
895,1.0
896,0.0
897,0.0
898,0.0
899,0.0
900,1.0
901,1.0
902,1.0
903,1.0
904,0.0
905,0.0
906,1.0
907,1.0
908,0.0
909,0.0
910,1.0
911,1.0
912,0.0
913,1.0
914,1.0
915,0.0
916,1.0
917,1.0
918,0.0
919,0.0
920,1.0
921,0.0
922,0.0
923,1.0
924,1.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,1.0
931,1.0
932,1.0
933,1.0
934,0.0
935,1.0
936,1.0
937,0.0
938,0.0
939,1.0
940,0.0
941,1.0
942,0.0
943,0.0
944,1.0
945,1.0
946,0.0
947,1.0
948,1.0
949,0.0
950,1.0
951,0.0
952,0.0
953,1.0
954,0.0
955,0.0
956,0.0
957,0.0
958,1.0
959,0.0
960,1.0
961,0.0
962,0.0
963,1.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,1.0
972,1.0
973,0.0
974,1.0
975,0.0
976,1.0
977,1.0
978,0.0
979,0.0
980,1.0
981,1.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,1.0
991,0.0
992,1.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,1.0
999,0.0
1000,0.0
1001,1.0
1002,0.0
1003,1.0
1004,0.0
1005,1.0
1006,1.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,1.0
1012,0.0
1013,0.0
1014,0.0
1015,1.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,1.0
1021,0.0
1022,0.0
1023,0.0
1024,1.0
1025,1.0
1026,0.0
1027,0.0
1028,1.0
1029,0.0
1030,0.0
1031,0.0
1032,1.0
1033,1.0
1034,1.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,1.0
1040,0.0
1041,0.0
1042,0.0
1043,1.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,1.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,1.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,1.0
1059,1.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,1.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,1.0
1070,0.0
1071,0.0
1072,1.0
1073,0.0
1074,0.0
1075,0.0
1076,1.0
1077,0.0
1078,1.0
1079,0.0
1080,0.0
1081,0.0
1082,1.0
1083,0.0
1084,1.0
1085,0.0
1086,1.0
1087,1.0
1088,1.0
1089,0.0
1090,1.0
1091,1.0
1092,0.0
1093,1.0
1094,0.0
1095,0.0
1096,0.0
1097,1.0
1098,0.0
1099,0.0
1100,1.0
1101,0.0
1102,0.0
1103,1.0
1104,0.0
1105,0.0
1106,0.0
1107,1.0
1108,1.0
1109,0.0
1110,1.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,1.0
1122,1.0
1123,0.0
1124,0.0
1125,1.0
1126,0.0
1127,1.0
1128,0.0
1129,1.0
1130,0.0
1131,0.0
1132,1.0
1133,1.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,1.0
1139,1.0
1140,0.0
1141,0.0
1142,0.0
1143,1.0
1144,0.0
1145,0.0
1146,1.0
1147,1.0
1148,1.0
1149,1.0
1150,1.0
1151,1.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,1.0
1157,0.0
1158,0.0
1159,0.0
1160,1.0
1161,1.0
1162,0.0
1163,0.0
1164,1.0
1165,0.0
1166,1.0
1167,1.0
1168,1.0
1169,0.0
1170,0.0
1171,1.0
1172,0.0
1173,1.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,1.0
1182,1.0
1183,1.0
1184,0.0
1185,1.0
1186,0.0
1187,0.0
1188,0.0
1189,1.0
1190,0.0
1191,1.0
1192,1.0
1193,0.0
1194,0.0
1195,1.0
1196,0.0
1197,0.0
1198,1.0
1199,1.0
1200,0.0
1201,1.0
1202,1.0
1203,1.0
1204,1.0
1205,0.0
1206,0.0
1207,1.0
1208,1.0
1209,0.0
1210,1.0
1211,1.0
1212,0.0
1213,0.0
1214,1.0
1215,1.0
1216,0.0
1217,1.0
1218,0.0
1219,1.0
1220,1.0
1221,1.0
1222,1.0
1223,0.0
1224,0.0
1225,0.0
1226,1.0
1227,0.0
1228,0.0
1229,1.0
1230,0.0
1231,0.0
1232,0.0
1233,1.0
1234,0.0
1235,0.0
1236,0.0
1237,1.0
1238,1.0
1239,1.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,1.0
1249,1.0
1250,1.0
1251,1.0
1252,0.0
1253,0.0
1254,1.0
1255,0.0
1256,0.0
1257,0.0
1258,1.0
1259,1.0
1260,1.0
1261,1.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,1.0
1267,1.0
1268,1.0
1269,0.0
1270,0.0
1271,1.0
1272,1.0
1273,1.0
1274,0.0
1275,1.0
1276,0.0
1277,0.0
1278,0.0
1279,1.0
1280,0.0
1281,1.0
1282,0.0
1283,0.0
1284,0.0
1285,1.0
1286,1.0
1287,0.0
1288,1.0
1289,0.0
1290,0.0
1291,1.0
1292,0.0
1293,0.0
1294,1.0
1295,0.0
1296,1.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,1.0
1302,0.0
1303,0.0
1304,1.0
1305,0.0
1306,0.0
1307,1.0
1308,1.0
1309,1.0
